,AFG,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BWA,CAN,CHE,CHL,CHN,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,GBR,GEO,GHA,GIB,GMB,GRC,GTM,GUF,GUY,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDV,MEX,MLT,MMR,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NGA,NLD,NOR,NPL,NZL,OMN,PAK,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLV,SMR,SOM,SRB,SVK,SVN,SWE,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,15,0,0,0,1,0,0,1,0,0
ARG,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,10,0,0,0,5,0,0,0,0,4,1,0,0,2,0,0,7,0,0,0,0,6,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUS,0,1,2,0,0,6,0,0,8,0,0,3,0,0,0,0,0,0,0,2,0,0,23,5,4,41,0,0,1,0,0,0,2,25,7,0,0,0,0,0,13,0,0,5,2,15,0,124,0,1,2,0,0,0,0,0,0,0,1,9,5,2,7,0,1,5,11,0,0,8,1,1,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,1,7,0,1,29,6,1,13,1,5,0,2,4,3,0,0,1,4,2,0,10,0,0,10,0,0,0,0,0,3,9,1,0,0,6,0,0,1,0,0,137,0,0,0,2,0,0,15,0,0
AUT,0,1,3,0,6,0,0,0,7,0,0,0,2,0,0,10,0,0,0,8,0,0,10,8,1,4,0,0,0,0,0,0,3,44,5,0,0,0,0,0,13,1,0,9,0,8,0,51,1,0,0,0,1,0,0,0,1,0,8,2,1,6,2,1,0,6,10,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,5,0,1,0,0,0,0,2,1,0,0,0,2,5,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,1,0,0,0,1,0,27,0,0,0,0,1,0,4,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BEL,0,0,1,0,8,7,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,13,10,3,5,0,0,1,1,0,1,2,19,8,0,0,1,1,0,10,1,0,4,0,15,0,35,0,0,0,0,1,1,0,0,1,0,1,2,1,4,3,0,0,2,10,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,46,4,0,1,0,0,0,2,2,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,1,2,1,0,0,0,39,0,0,0,2,0,0,3,0,0
BEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
