,AFG,ALB,ARE,ARG,ARM,AUS,AUT,BEL,BFA,BGD,BGR,BHR,BLR,BOL,BRA,BRB,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GMB,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LKA,LTU,LUX,MAR,MEX,MKD,MLI,MLT,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,POL,PRT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SWZ,SYC,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,0,2,2,2,0,0,0,0,0,2,14,0,0,2,4,0,2,0,0,2,2,0,0,2,4,4,0,0,2,2,0,6,0,0,2,6,0,10,2,0,0,2,0,0,0,0,2,2,2,2,0,0,4,4,0,0,2,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,4,0,4,0,0,2,0,0,0,2,4,0,0,0,2,0,0,2,2,0,0,0,0,30,0,0,0,0,2,0,0
ARM,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AUS,0,0,0,2,0,0,8,14,0,8,0,0,0,2,6,0,2,106,10,0,50,0,0,2,2,0,2,6,44,10,0,0,2,2,2,12,2,0,8,16,0,218,2,2,0,4,0,2,0,0,2,6,8,6,0,0,12,26,0,0,20,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,36,12,0,82,2,0,0,0,6,0,4,4,0,2,0,0,20,0,0,0,4,12,2,0,0,6,0,0,8,10,0,0,0,0,424,0,0,2,0,12,0,0
AUT,0,0,0,2,0,8,0,4,0,0,0,0,0,2,2,0,0,6,14,0,2,0,0,2,2,0,0,4,44,12,0,0,2,2,0,10,2,0,14,10,0,38,2,0,0,2,0,0,0,0,10,2,6,4,0,0,4,16,0,0,8,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,20,10,0,2,0,0,0,0,2,0,4,2,0,6,0,0,2,0,0,2,4,8,0,0,0,2,0,0,4,2,0,0,0,0,52,0,0,0,0,2,0,0
BEL,0,0,0,2,2,14,4,0,0,0,0,0,0,0,2,0,0,36,30,2,0,0,0,0,0,0,0,2,24,12,0,0,0,0,0,24,4,0,2,88,0,94,0,2,0,2,0,0,0,0,4,0,4,12,0,0,8,22,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,6,0,6,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,2,2,8,0,0,0,0,0,0,4,0,0,0,0,0,120,0,0,0,0,2,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
BGD,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,2,0,2,2,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,0,0,2,2,0,2,2,0,0,2,0,0,0,0,2,4,2,2,0,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0
BRA,0,0,0,14,0,6,2,2,0,0,0,0,0,2,0,0,0,14,2,6,2,0,0,4,2,0,0,2,4,2,0,0,2,2,0,2,2,0,2,14,0,42,2,0,0,4,0,0,0,0,4,2,2,2,0,0,2,4,0,0,2,0,0,0,0,2,2,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,6,0,2,0,0,2,0,0,0,2,6,0,0,0,2,0,0,2,2,0,0,0,0,86,0,0,0,0,2,0,2
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BWA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
CAN,0,0,0,2,0,106,6,36,0,0,0,0,0,2,14,0,0,0,10,4,52,0,0,2,2,0,6,2,46,10,0,0,2,2,0,18,0,0,14,126,0,228,2,2,0,6,0,0,0,2,4,4,14,6,0,2,58,16,2,0,60,0,0,0,0,12,2,0,0,0,0,2,8,0,2,0,0,0,4,0,0,2,0,50,16,0,16,2,8,0,2,4,0,4,4,2,8,0,0,14,0,0,0,2,14,0,0,0,4,4,0,16,8,0,0,2,0,1040,0,2,0,0,10,0,0
CHE,0,0,0,4,0,10,14,30,0,0,0,0,0,2,2,0,0,10,0,0,6,0,0,2,2,0,0,2,98,18,0,0,2,2,0,12,2,0,12,42,0,76,2,0,2,6,0,0,0,0,8,2,4,12,0,0,8,24,0,0,8,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,34,12,2,4,0,0,0,0,2,0,2,8,0,4,0,0,2,0,0,0,4,26,0,0,0,2,0,0,4,2,0,0,0,0,128,0,0,2,0,2,0,2
CHL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,2
CHN,0,0,0,2,0,50,2,0,0,0,0,0,2,2,2,0,0,52,6,0,0,0,0,2,2,0,0,2,10,6,0,0,2,2,0,4,0,0,8,8,0,96,2,0,0,4,0,2,0,0,2,2,8,2,0,0,12,2,0,2,12,2,0,2,0,8,2,0,0,0,0,2,0,0,0,0,0,0,6,2,0,2,0,2,0,2,10,0,2,0,0,4,0,2,2,0,2,0,0,14,0,0,0,2,6,0,0,0,2,0,0,2,20,0,0,0,0,322,2,0,0,0,2,0,0
CIV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
