,ALB,ANT,ARE,ARG,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BMU,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GTM,GUF,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLI,MLT,MOZ,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SOM,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ARG,0,0,0,0,8,4,4,0,0,2,0,0,0,0,0,0,2,14,0,0,2,6,6,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,14,4,0,4,2,12,24,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,6,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,8,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,4,6,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,4,44,0,0,0,0,2,0,4
AUS,0,0,2,8,0,6,14,0,0,4,0,0,0,0,0,0,2,4,0,2,4,190,50,4,104,0,2,2,0,0,0,4,8,50,6,0,0,0,16,4,2,14,4,30,496,0,2,0,10,0,0,0,4,0,10,10,2,6,0,14,44,0,0,36,0,0,0,24,0,2,4,0,2,4,0,4,2,0,10,0,6,0,0,0,10,0,0,0,0,66,26,0,64,0,0,0,4,8,2,8,6,0,4,2,0,0,0,0,24,2,0,4,4,4,24,2,12,0,0,4,10,4,0,4,0,630,0,4,8,0,32,0,6
AUT,0,0,0,4,6,0,20,0,0,2,0,0,0,0,0,0,2,4,0,0,2,12,18,4,6,0,0,2,0,0,0,4,6,100,0,0,0,0,10,4,0,8,2,18,36,0,0,0,4,0,0,0,4,2,4,2,2,0,0,6,24,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,26,6,0,6,0,0,0,4,2,0,8,4,0,4,4,0,0,0,0,0,0,0,4,12,10,2,0,0,0,0,4,2,4,0,2,0,66,0,0,0,0,6,0,4
BEL,0,0,0,4,14,20,0,0,0,2,2,0,0,0,0,0,2,4,0,0,2,58,70,6,4,0,0,2,0,0,0,4,6,58,10,0,0,0,44,4,0,16,2,132,160,0,0,0,10,0,0,0,4,10,4,2,8,0,0,18,52,0,0,14,0,0,0,8,0,0,4,0,0,4,2,4,2,0,8,0,4,0,0,0,4,0,0,0,0,198,10,0,4,0,0,0,4,2,0,12,8,0,4,2,0,0,0,0,2,0,0,6,8,4,18,0,0,0,0,6,2,4,0,2,0,170,0,0,0,0,2,0,4
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
BGD,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,4,0,0,0,0,2,2,0,2,0,2,12,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,6,0,0,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,14,0,0,0,0,2,0,2
