,AFG,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CPV,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SMR,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TGO,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARE,0,0,0,0,1,1,3,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,1,2,0,0
ARG,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,1,5,1,6,1,0,1,0,2,0,0,0,1,1,3,0,1,1,0,0,0,10,1,0,0,0,2,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,1,0,2,0,0,0,0,0,33,0,2,0,0,1,1,0,0
ARM,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0
AUS,0,0,0,3,2,1,0,10,0,16,0,1,0,0,1,0,0,0,0,0,9,0,1,1,124,16,3,81,0,1,0,3,0,0,0,2,2,61,12,1,2,0,0,0,19,4,0,11,8,41,0,466,1,1,0,0,11,0,0,0,0,0,0,3,16,16,17,2,1,2,14,45,0,1,39,0,2,0,1,19,3,0,1,0,0,0,2,0,2,1,0,0,1,1,2,0,1,0,4,0,0,0,2,0,4,0,0,0,0,0,74,13,1,84,0,1,0,1,5,3,8,7,0,0,0,0,3,0,1,0,0,25,0,0,0,1,0,3,2,22,1,0,0,0,6,1,0,4,2,0,0,0,0,447,0,1,4,1,1,19,0,0
AUT,0,0,0,1,1,1,10,0,1,13,0,1,0,1,0,0,1,0,0,0,2,0,0,1,16,21,2,4,0,1,0,1,0,0,0,1,5,107,11,1,1,0,0,0,16,2,0,3,0,16,0,62,1,1,0,0,6,0,1,0,0,3,0,9,0,3,7,1,0,3,6,21,0,1,6,0,0,0,0,2,1,0,0,0,0,0,1,0,2,4,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,27,8,1,2,1,0,0,1,1,0,11,2,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,4,3,14,1,0,0,0,0,1,0,6,1,0,0,0,0,73,0,0,1,0,1,1,0,0
AZE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BEL,0,0,0,1,1,1,16,13,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,29,32,4,6,0,2,0,2,0,0,0,2,3,64,13,1,1,0,0,0,22,10,1,14,0,73,0,118,1,1,0,0,11,0,0,0,0,3,0,7,0,4,11,1,0,2,5,48,0,1,5,0,1,0,0,2,1,0,1,0,0,0,1,0,3,15,0,2,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,190,9,1,3,0,0,0,2,1,0,18,4,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,5,3,15,1,0,0,0,0,1,1,4,1,2,0,3,0,126,0,0,1,0,1,10,0,0
