,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
ALB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,6,0,0,0,0,0,0,2,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,0
ARG,0,0,0,0,0,15,6,0,0,11,0,0,0,0,0,0,0,0,0,0,2,86,0,0,0,0,34,16,44,5,0,0,0,0,0,17,0,4,2,0,6,58,0,8,0,3,1,1,0,102,0,0,5,0,101,0,40,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,10,2,0,0,0,9,51,0,0,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,3,1,0,0,1,1,0,5,3,5,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,16,250,0,0,0,15,0,0,0,0,7,0,0
ARM,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,9,0,0,0,0,10,0,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,23,2,0,0,0,0,0,0,0,1,0,0
AUS,0,0,3,15,1,0,34,0,0,56,1,0,2,4,0,0,0,0,0,0,0,30,1,0,0,0,265,98,22,57,0,1,0,0,1,9,0,4,1,1,24,323,0,65,0,1,1,3,0,44,2,0,38,2,224,0,730,0,0,0,1,0,9,2,0,0,0,33,0,6,0,9,25,41,16,10,0,6,62,122,0,2,229,1,5,0,0,0,18,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,15,1,0,0,0,3,0,0,3,1,9,0,6,0,2,0,131,28,2,157,1,2,1,2,20,12,23,8,3,0,0,2,47,1,0,0,0,32,3,0,0,0,0,0,0,4,7,146,0,0,1,0,0,30,0,0,0,1,6,12,1,1,5,2,1262,2,0,0,4,6,3,0,3,52,0,2
AUT,0,0,0,6,0,34,0,0,0,56,0,0,1,5,0,0,0,9,0,0,0,35,0,0,0,0,77,198,3,42,0,0,0,0,0,1,0,1,0,0,73,620,0,83,0,0,0,5,0,103,0,1,57,0,203,6,294,0,0,0,0,0,63,0,1,0,0,6,0,15,0,28,1,7,9,0,0,2,31,184,1,0,53,0,0,1,0,0,37,2,0,0,0,2,0,1,0,1,0,2,2,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,114,43,0,10,0,1,0,0,0,0,79,14,0,0,0,3,56,0,2,0,0,3,0,0,0,0,0,0,0,57,39,85,0,0,1,0,0,7,0,0,0,1,3,1,2,0,12,3,536,0,0,0,1,3,0,0,2,14,1,3
AZE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BEL,1,0,1,11,4,56,56,1,4,0,3,1,2,17,0,0,3,0,0,0,2,58,0,0,1,0,126,182,12,18,4,2,14,0,0,2,0,0,1,1,77,469,0,108,0,2,1,7,0,216,1,0,77,0,710,1,513,4,1,0,2,0,82,0,0,0,0,5,0,9,1,24,2,18,24,2,0,4,32,305,1,0,91,1,6,0,0,0,5,0,0,0,0,1,0,0,0,2,12,0,9,1,2,2,11,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,497,64,0,9,1,0,0,0,6,0,94,62,1,0,0,20,102,3,4,0,5,2,0,0,0,0,0,0,0,55,30,195,0,0,1,0,2,2,0,0,0,6,10,6,0,1,7,1,707,0,0,0,1,2,0,0,5,18,3,1
