,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1
ALB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,2,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,2,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,18,0,0,0,1,0,0,0,0,2,0,0
ARG,0,0,0,0,0,0,0,12,11,0,0,19,0,0,0,3,0,0,0,0,0,0,5,109,0,0,0,0,44,29,32,7,0,0,0,0,0,16,0,1,5,0,6,79,16,0,1,0,4,0,134,1,0,15,0,112,0,76,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,6,1,16,2,0,0,0,13,73,0,1,38,0,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,0,4,0,0,0,1,2,0,0,8,0,2,4,0,0,2,24,0,1,0,0,1,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,15,330,0,0,14,0,0,0,0,1,7,0,0
ARM,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0,4,7,1,7,0,0,0,0,0,1,0,0,1,0,5,19,1,0,0,0,0,0,13,0,0,0,0,14,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,8,0,0,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,9,40,0,0,0,0,1,0,0,0,0,0,6,1,8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,1,28,6,0,0,1,0,0,0,0,1,1,0
AUS,0,0,0,0,2,12,5,0,45,0,0,66,0,0,4,9,0,0,0,0,0,0,1,37,0,1,1,1,383,116,12,97,0,0,1,0,0,7,0,1,0,1,25,410,74,1,0,0,1,0,64,3,1,51,4,274,0,809,2,4,0,0,0,0,13,0,0,0,0,53,0,13,0,17,27,40,22,10,0,5,73,147,0,1,350,3,5,0,1,1,37,6,0,1,0,0,0,4,0,4,1,0,0,3,0,1,17,0,1,0,1,3,1,0,0,0,3,21,2,2,0,4,0,171,43,6,186,0,4,2,0,14,0,11,34,0,9,0,0,0,12,66,0,5,0,1,47,2,0,0,0,0,15,2,160,0,0,1,0,1,40,0,0,0,0,2,9,21,1,0,4,1,1562,7,0,2,11,1,2,0,2,58,1,5
AUT,0,1,0,0,0,11,0,45,0,0,0,81,0,0,2,8,0,0,3,4,0,0,1,32,0,0,0,0,94,208,5,48,0,0,0,0,0,0,0,0,2,1,86,834,83,1,0,0,5,0,112,0,4,60,0,224,6,312,1,0,0,0,0,0,61,0,1,0,0,4,0,18,0,56,1,9,22,1,0,3,28,228,0,0,72,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,5,0,0,1,0,0,6,0,0,1,2,0,1,0,0,0,2,1,1,0,0,1,0,160,47,1,8,0,1,0,0,0,0,0,56,0,21,0,0,0,11,77,0,1,0,0,4,0,0,0,0,0,63,39,96,0,0,0,0,0,4,0,0,0,0,1,6,0,1,0,17,1,684,0,0,2,1,0,0,0,3,18,1,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
