,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,2,3,0,0,0,3,0,0,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,10,9,0,0,9,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,29,7,0,4,0,0,0,0,0,0,0,0,0,0,1,19,0,0,2,0,1,0,22,0,2,0,0,4,0,14,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,2,0,0,0,3,1,0,17,5,0,0,0,0,0,0,11,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,1,3,8,0,0,0,0,0,1,1,0,0,3,0,2,0,11,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,57,0,0,0,1,0,0,0,0,6,0,0
ARG,0,0,0,0,0,0,0,0,0,57,35,0,0,42,0,0,0,4,0,1,0,1,0,0,6,261,0,0,0,0,1,84,44,110,17,0,1,0,0,24,0,0,6,15,0,17,215,0,0,27,0,1,10,1,0,378,1,0,13,0,219,0,0,171,0,0,0,0,0,0,0,7,1,0,2,1,0,1,4,1,21,1,20,6,1,0,1,29,156,0,0,56,0,2,0,0,0,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,78,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,49,9,1,20,0,1,5,20,3,0,0,23,34,6,0,0,8,20,0,4,0,0,4,0,0,0,0,3,0,0,1,6,36,0,0,1,0,0,9,0,0,0,0,1,10,0,9,2,0,6,41,679,4,0,23,2,0,0,0,1,24,1,0
ARM,0,0,0,0,0,0,0,0,0,2,1,2,0,16,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,0,12,16,1,4,0,0,0,0,0,0,0,0,1,1,8,75,0,0,0,0,0,0,0,0,14,0,0,5,0,59,0,0,44,5,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,3,58,0,2,14,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,35,9,0,0,0,22,75,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,74,1,0,0,0,0,0,0,0,1,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,10,57,2,0,0,173,0,0,194,0,0,13,11,0,0,1,3,1,1,1,112,3,5,0,4,1,752,334,39,822,0,4,0,0,8,0,0,5,4,8,48,919,0,0,195,0,0,4,12,0,244,3,5,118,9,614,3,0,2078,2,0,0,2,3,0,0,62,1,0,0,0,0,0,13,1,38,54,150,72,59,0,9,115,441,1,4,646,0,8,0,3,0,146,6,3,8,0,0,1,0,14,0,9,3,5,4,0,1,4,0,46,0,1,0,0,0,2,1,0,0,2,11,73,2,4,0,9,0,417,100,6,523,6,12,7,4,30,2,25,119,43,0,0,3,21,138,0,7,1,0,224,6,0,0,0,8,0,0,17,36,342,1,0,2,0,0,125,0,0,4,1,2,40,0,89,6,1,23,5,3400,2,0,6,23,2,0,0,0,181,1,7
