,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,2,0,4,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,8,2,2,2,0,0,0,2,0,0,0,2,0,2,14,0,0,0,0,0,2,2,0,8,6,0,0,0,0,8,0,0,10,2,2,0,0,0,0,0,16,0,0,0,0,0,0,6,0,4,2,2,2,2,0,0,0,32,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,2,0,2,2,0,0,6,6,0,2,0,0,2,0,0,0,0,0,6,0,0,6,2,4,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,4,0,2,0,0,0,0,0,0,0,0,2,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,16,20,0,0,14,0,0,4,0,6,0,0,0,0,0,0,8,4,0,0,0,0,56,10,0,8,0,2,0,0,0,0,0,0,0,0,2,28,0,0,10,0,2,0,42,0,8,2,0,8,0,0,24,0,0,104,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,12,8,6,2,0,8,16,0,26,14,0,0,0,0,0,0,8,22,0,4,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,2,0,10,6,6,0,0,0,0,0,0,0,0,0,0,4,0,6,0,20,2,0,4,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,2,0,0,0,0,6,14,0,0,0,0,0,138,0,0,0,0,0,0,0,0,6,0,0
ARG,0,0,2,0,0,0,0,4,116,76,0,0,114,0,0,4,8,0,0,0,2,0,0,16,594,0,0,0,0,0,268,90,242,62,2,0,0,0,96,0,0,14,40,0,46,514,0,0,62,2,6,22,2,0,920,4,0,22,0,0,586,0,0,418,4,4,0,0,2,0,0,10,0,0,4,4,0,2,8,0,26,4,48,30,6,2,2,36,352,2,0,118,0,2,0,0,0,0,16,0,0,2,0,0,0,2,0,0,2,0,4,0,0,0,186,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,2,0,140,22,0,28,4,10,8,46,14,0,0,46,0,70,20,0,0,18,70,0,6,0,0,10,0,0,0,0,0,6,0,0,6,16,100,0,0,0,0,0,22,0,0,0,0,4,24,22,2,4,2,142,1722,14,0,58,2,0,0,0,0,54,0,0
ARM,0,0,0,0,0,0,4,0,0,6,2,0,40,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,38,52,6,6,0,0,0,0,0,0,0,0,0,0,34,148,0,0,2,0,0,0,0,0,16,0,0,6,0,0,118,0,0,70,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,2,0,0,6,14,0,0,6,120,0,0,36,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,66,0,10,0,0,0,26,114,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,42,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,14,2,132,0,0,0,0,0,0,0,0,8,0,0
AUS,2,0,4,0,0,16,116,0,0,418,0,0,480,0,2,28,26,0,0,0,2,2,6,2,356,4,20,0,14,0,1806,792,140,1976,2,12,0,0,20,0,0,6,10,4,114,2258,0,0,420,4,2,12,28,2,562,10,2,258,24,0,1422,6,4,4730,10,6,0,0,8,0,0,126,2,0,2,2,0,0,28,0,120,176,374,178,104,0,10,262,1012,6,14,1330,0,38,0,20,2,0,400,14,2,16,0,2,0,30,0,8,4,4,8,2,2,2,142,2,2,0,0,4,0,4,6,0,0,12,10,130,2,16,0,14,0,906,234,6,1164,2,30,14,8,66,4,54,302,0,74,2,0,4,36,374,0,22,0,2,562,4,0,0,0,0,18,0,0,52,96,708,0,0,2,0,0,272,0,0,4,2,10,96,262,8,4,48,12,8000,2,0,12,60,2,2,0,0,388,14,16
AUT,0,0,2,0,0,20,76,6,418,0,2,0,470,0,2,12,82,0,0,8,16,0,0,2,144,4,0,8,0,0,438,1006,46,220,2,4,0,0,18,0,0,2,10,0,360,3968,0,0,272,0,2,6,40,0,676,16,16,216,0,0,1152,0,8,1428,20,4,0,0,0,0,0,212,0,0,2,0,0,2,120,0,332,22,144,82,40,0,18,146,1138,2,0,392,4,20,0,0,0,0,92,2,0,2,0,0,6,2,2,18,16,22,8,2,6,0,34,0,2,2,0,0,0,4,0,0,0,0,0,12,0,0,0,6,0,686,184,4,48,2,14,4,8,10,0,0,534,0,256,2,0,0,54,442,0,6,0,2,46,0,0,0,0,0,48,0,0,306,212,514,0,0,0,0,0,52,0,0,0,0,6,86,80,14,4,84,14,2690,6,0,12,8,0,0,0,0,112,4,0
