,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,6,0,0
ALB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ANT,0,0,0,0,0,0,1,0,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,2,1,0,20,16,0,0,14,0,0,0,1,2,0,0,0,0,0,0,20,1,0,0,0,0,48,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,5,0,8,0,24,0,5,1,0,3,0,30,0,0,121,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,4,16,4,5,2,0,5,9,0,21,17,0,0,0,0,0,0,2,14,0,5,0,2,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,1,32,6,0,6,16,5,0,0,1,0,0,2,0,2,0,0,5,3,5,0,15,3,0,24,0,0,0,0,0,3,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,6,10,0,2,0,0,1,0,122,0,0,0,0,0,3,0,0,0,0,5,0,0
ARG,0,0,0,1,1,2,0,3,1,96,45,0,0,62,0,0,1,8,0,0,0,1,0,0,6,421,1,0,0,0,0,198,107,217,58,0,0,0,0,0,90,0,0,14,23,0,0,42,299,0,0,44,3,3,35,2,0,527,2,1,26,0,322,0,0,260,3,0,0,0,0,0,0,19,0,0,4,0,0,3,0,0,15,2,57,38,7,0,0,34,206,1,0,61,2,0,0,0,0,0,46,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,138,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,5,97,14,1,19,0,1,7,30,5,0,0,42,0,45,12,0,0,10,56,0,8,0,1,4,0,0,1,0,0,6,0,0,7,9,77,0,0,0,1,0,10,0,0,0,1,5,23,0,7,0,0,3,65,973,2,0,0,0,40,7,0,0,0,0,38,0,0
ARM,0,0,0,0,0,1,3,0,0,1,0,3,0,19,0,0,0,26,0,0,0,4,0,0,0,13,0,0,0,0,0,8,48,1,7,0,0,0,0,0,0,0,0,0,1,0,5,31,106,0,0,2,0,0,0,1,0,17,0,0,9,0,76,0,0,55,7,0,0,0,0,0,0,25,0,0,0,0,0,0,5,0,1,0,7,12,1,0,0,2,78,0,1,27,2,0,1,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,8,1,0,0,0,0,0,1,12,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,37,0,19,0,1,0,12,84,0,1,0,0,0,0,0,0,0,0,9,0,0,18,0,19,0,0,1,0,0,0,1,0,0,0,0,4,0,7,0,0,6,0,119,2,0,0,0,1,0,0,0,1,0,13,0,0
ATG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,2,0,0,0,3,20,96,1,0,0,262,1,0,303,0,1,31,19,1,0,4,4,0,1,0,232,1,4,5,9,0,1305,568,84,1610,4,8,2,2,0,29,0,0,6,6,0,5,109,1512,0,0,289,0,3,4,20,1,387,9,4,155,24,996,8,5,3059,1,8,0,0,3,0,0,77,0,2,3,0,0,2,23,0,65,111,290,158,114,5,12,165,698,1,3,894,2,28,0,11,2,0,289,10,6,11,0,3,0,2,21,0,6,2,7,6,5,1,1,1,110,3,3,1,2,4,1,5,4,0,0,5,10,88,2,20,1,11,0,586,161,6,750,6,17,10,10,46,3,19,220,1,65,0,0,4,28,209,0,15,1,1,370,4,0,1,0,0,18,0,0,23,71,442,0,1,6,0,1,195,0,0,2,4,8,83,1,190,12,6,34,7,5041,3,0,0,0,13,58,3,0,0,0,265,7,9
