,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0
ALB,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,9,1,0,6,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,2,0,1,2,0,8,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,7,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
ARE,0,0,0,0,0,0,4,0,0,42,9,0,0,13,0,0,1,1,10,0,1,0,0,0,0,5,0,1,0,0,0,98,6,1,13,0,0,1,0,1,0,0,1,0,0,0,6,53,0,0,6,0,8,0,44,0,6,0,0,7,0,44,0,0,80,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,6,2,34,4,15,1,0,0,23,0,25,13,0,8,0,0,0,7,26,0,10,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,28,2,0,8,23,5,0,0,1,0,0,4,0,3,0,0,9,7,1,0,32,5,0,7,0,0,0,0,0,5,0,0,1,2,17,0,2,1,0,0,1,0,0,0,0,7,10,2,1,0,1,0,160,1,0,0,0,1,1,0,0,0,4,10,0,1
ARG,1,0,0,0,0,4,0,2,0,125,55,1,0,93,1,1,1,6,0,0,0,2,0,0,22,604,0,0,0,1,0,287,110,228,113,1,1,1,0,120,0,0,21,32,0,0,75,370,0,0,51,10,5,68,6,0,672,8,0,33,1,372,0,0,338,1,2,0,0,0,0,0,28,0,0,6,1,0,6,5,0,39,3,88,62,9,0,1,40,305,1,3,78,1,4,0,0,0,65,1,1,4,0,1,0,0,0,0,4,0,1,2,0,0,1,0,207,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,1,7,7,139,25,0,33,3,3,6,47,8,0,0,48,0,57,9,0,0,16,97,1,5,0,1,15,0,0,7,0,0,6,0,0,7,20,132,0,0,1,0,0,10,0,0,0,0,6,17,11,2,3,5,108,1226,0,0,0,0,54,7,0,0,0,0,57,0,1
ARM,0,0,0,0,0,0,2,0,0,18,5,4,0,12,0,0,0,25,0,0,0,7,0,0,1,11,0,0,0,0,0,16,40,9,9,0,0,0,0,2,0,0,0,1,0,5,24,92,0,0,3,0,0,0,1,0,24,2,1,16,0,80,0,0,62,8,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,6,1,9,18,7,0,0,6,65,0,0,17,3,0,2,0,0,25,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,10,0,0,0,0,0,6,7,0,0,0,0,0,0,15,0,0,0,0,19,4,0,2,0,0,0,0,0,0,0,46,0,4,0,0,0,12,69,0,1,0,0,0,0,0,0,0,0,9,0,0,9,3,13,0,0,1,0,0,0,0,0,0,0,0,7,10,0,0,9,0,116,1,0,0,0,0,0,0,0,0,0,20,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1,0,1,0,0,42,125,18,0,0,343,1,0,448,1,5,38,44,0,1,2,13,0,1,14,340,1,5,1,5,0,1650,731,117,2360,4,11,2,1,24,0,0,12,2,0,12,150,1935,0,0,466,0,4,6,20,0,659,31,4,250,27,1394,1,0,4176,3,10,0,2,4,0,0,110,1,0,3,0,0,0,32,0,103,112,409,238,193,11,20,233,969,1,15,980,1,61,1,12,0,390,22,7,16,0,1,0,2,58,0,14,9,7,11,6,1,6,0,129,2,4,4,6,13,0,1,9,0,0,6,18,158,15,13,1,20,0,829,261,9,992,19,38,17,11,69,6,62,263,1,109,0,1,10,41,263,0,23,1,5,530,2,0,0,0,0,30,0,0,36,115,583,0,1,6,0,0,295,0,0,2,8,9,94,285,16,12,48,23,6227,8,0,0,0,9,90,1,0,0,0,377,2,8
