,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,16,0,0,0,0,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,10,0,0,4,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,16,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,8,0,0
ALB,0,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,24,0,0,2,0,0,2,0,0,10,2,0,2,0,20,0,0,22,0,2,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,70,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,2,2,0,0,0
AND,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,8,0,0,94,26,0,0,30,0,0,4,2,26,0,6,0,0,0,0,40,0,2,0,0,0,188,30,4,68,0,0,0,0,0,4,0,0,2,0,0,6,22,156,0,0,22,2,20,4,108,0,48,10,0,22,0,102,0,0,250,0,4,0,0,0,0,38,0,0,0,0,0,0,2,0,22,6,104,16,60,10,2,12,56,2,68,56,0,16,2,0,0,24,74,0,38,0,2,0,0,2,0,6,0,4,14,0,0,2,0,10,0,2,0,2,0,0,0,4,0,0,0,0,30,0,0,0,0,0,118,14,2,18,64,16,0,4,4,0,0,18,0,26,0,4,46,8,26,0,96,6,0,60,0,0,0,0,0,12,0,0,0,2,56,0,0,10,0,0,0,6,0,0,0,2,16,30,14,4,0,4,0,476,2,0,0,6,0,10,0,0,12,20,0,0
ARG,0,0,0,0,0,8,0,36,0,352,178,36,0,248,0,2,4,14,0,0,2,40,0,0,40,1324,0,2,0,2,0,670,338,608,282,0,0,10,0,0,328,0,0,72,66,0,2,204,1122,0,0,156,10,10,110,12,0,1744,22,0,94,2,1088,0,2,932,36,4,0,0,2,0,114,0,0,30,10,0,16,36,2,110,6,226,110,38,0,0,118,710,4,8,234,0,20,2,4,0,150,6,2,20,0,2,0,0,2,0,14,0,12,54,0,2,4,0,498,0,6,0,0,0,0,0,4,0,0,0,0,14,0,0,0,12,10,334,96,2,76,8,28,24,130,28,0,0,184,0,190,50,0,2,80,218,0,20,0,0,28,0,0,8,0,0,54,0,0,92,80,316,0,0,12,0,0,0,50,0,0,0,4,22,116,96,6,14,22,276,2866,0,4,0,118,0,28,0,0,0,172,8,0
ARM,0,0,0,0,0,0,36,0,0,56,132,40,0,104,0,0,0,92,0,0,0,116,0,0,0,136,0,0,0,0,0,76,188,48,150,0,0,0,0,0,110,0,0,0,18,0,68,104,280,0,0,64,0,0,0,22,0,140,66,0,84,0,250,0,0,264,110,0,0,0,0,0,154,0,0,0,0,0,0,92,0,118,0,92,68,110,0,0,52,236,0,0,92,6,0,0,0,0,108,0,0,0,0,0,0,0,0,0,64,0,4,40,0,4,0,0,108,0,0,0,0,0,20,20,0,0,0,0,0,4,14,0,0,0,0,86,60,0,66,0,64,0,16,0,0,0,182,0,112,0,0,0,86,294,0,2,0,0,0,0,0,0,0,0,130,0,0,86,40,106,0,0,2,0,0,0,0,0,0,0,0,0,106,134,0,0,92,0,304,12,0,0,0,0,2,0,0,0,50,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
AUS,2,0,4,2,2,94,352,56,0,0,1042,38,2,1158,10,6,102,70,2,0,4,54,0,8,12,932,8,16,8,16,4,4112,1944,396,6294,0,50,8,2,0,148,0,2,24,22,0,30,468,4994,0,2,1062,0,24,30,72,4,1704,82,28,710,56,3600,2,0,10400,44,36,6,16,0,0,314,2,6,6,2,2,2,110,0,316,334,1120,644,566,24,86,596,2484,8,30,2260,2,100,2,44,0,948,54,28,64,2,16,0,10,156,0,44,38,28,60,2,4,10,0,338,0,16,8,8,8,0,14,22,8,0,14,24,616,16,68,4,46,2,2376,680,44,2682,28,120,46,50,154,4,120,726,2,394,6,0,52,162,590,8,148,12,18,1376,20,2,2,0,0,90,0,0,134,202,1666,0,4,28,0,0,2,642,0,0,4,14,30,276,740,52,28,86,22,14632,6,2,0,54,0,240,14,0,0,908,10,12
AUT,2,2,8,0,0,26,178,132,0,1042,0,36,0,1310,4,8,20,214,4,0,36,122,0,0,2,484,0,0,2,2,0,1164,2400,136,760,2,4,2,2,0,162,0,0,10,14,0,86,876,8212,0,0,686,4,6,14,136,0,1936,158,18,598,0,2680,0,10,3624,130,8,0,0,0,0,524,0,0,0,0,0,0,280,0,704,28,348,356,178,4,56,456,2772,0,6,856,4,22,0,2,0,278,6,0,28,0,2,0,170,8,0,158,42,50,54,14,4,0,0,196,0,24,0,10,2,10,22,2,0,0,0,0,28,8,0,0,28,0,1718,558,16,254,2,148,8,18,4,0,0,910,0,436,0,0,4,282,692,0,54,10,12,106,0,0,2,0,0,292,0,0,486,378,1286,0,0,16,0,0,0,120,0,0,0,0,18,370,252,30,18,236,16,5076,6,0,0,6,0,26,0,0,2,202,4,6
AZE,0,0,0,0,0,0,36,40,0,38,36,0,0,6,0,0,0,0,0,0,0,42,0,0,0,36,0,0,0,0,0,40,44,36,40,0,2,0,0,0,36,0,0,0,0,0,0,38,74,0,0,36,0,0,0,0,0,38,0,0,0,0,62,0,0,94,42,0,0,0,0,0,36,2,0,0,0,0,0,0,0,34,2,2,0,102,0,0,38,40,0,0,36,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,38,0,0,2,12,0,2,0,0,0,36,0,42,0,0,0,36,106,0,0,2,0,0,0,0,0,0,0,36,0,0,36,38,36,0,0,0,0,0,0,0,0,0,0,0,0,224,38,0,0,20,0,74,2,0,0,0,0,0,0,0,0,14,0,0
BDI,0,0,0,0,0,0,0,0,0,2,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,2,4,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,0,0,0,0,0,2,0,0,0,4,0,0
BEL,0,2,2,0,4,30,248,104,0,1158,1310,6,18,0,50,46,44,328,0,0,4,90,0,0,26,706,12,0,0,0,6,1628,2280,248,998,22,68,138,14,0,160,0,2,16,92,0,114,678,5606,0,0,1098,2,96,16,118,0,3086,208,72,736,4,6736,0,16,6184,84,16,12,12,0,0,866,0,0,4,4,0,2,222,0,600,50,514,466,216,6,50,542,3912,0,8,980,32,94,2,20,0,350,6,6,50,0,2,0,8,10,0,190,172,60,62,8,10,20,0,304,0,14,26,20,2,22,24,12,2,0,4,26,82,0,8,16,44,0,5446,630,46,350,0,94,12,66,28,0,0,1230,0,726,4,0,22,368,768,48,36,6,36,142,0,6,0,0,0,216,0,4,158,192,1528,0,0,12,0,2,14,94,0,0,0,2,130,472,172,84,64,230,22,6876,16,0,0,40,0,126,0,0,0,428,18,20
BEN,0,6,0,0,0,0,0,0,0,10,4,0,2,50,0,18,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,10,22,4,4,22,20,2,4,0,0,0,0,0,0,0,0,0,26,0,0,24,0,2,4,2,0,6,0,2,0,0,194,0,2,48,0,20,10,2,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,14,0,0,16,0,18,0,2,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,8,0,0,18,0,0,0,0,2,2,0,0,2,0,0,4,8,24,0,42,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,16,2,0,0,0,0,0,0,0,10,6,0,0,44,0,0,0,0,0,0,0,0,0,10,4,0
