,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,2,0,0,0,0,0,2,0,0,8,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,10,2,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,6,0,2,2,0,0,0,12,0,2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,8,2,6,0,4,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,6,2,8,2,6,0,0,14,0,2,4,0,2,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,46,0,0,0,0,0,4,0,0,0,0,6,2,0
AGO,2,0,0,0,0,0,0,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,4,4,4,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,10,0,0,6,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,6,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,4,0,2,4,2,0,2,2,0,0,2,0,2,2,0,0,0,0,38,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,4,0,0,0,0,6,0,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,2,0,2,14,0,0,14,0,0,2,8,0,0,6,0,0,0,0,8,0,0,0,0,0,14,10,0,2,0,0,0,0,0,10,0,0,0,0,0,0,4,10,26,0,0,4,0,0,0,0,0,44,0,0,4,0,22,0,0,16,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,8,0,4,0,2,0,0,0,70,0,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,18,2,0,2,2,0,0,0,0,0,0,6,0,4,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,10,4,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,28,0,0,0,4,0,0,0,0,8,0,2,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,20,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,20,2,0,146,36,0,0,48,0,0,20,10,28,0,4,0,0,0,2,34,0,0,0,0,0,336,70,18,146,0,0,2,0,0,14,0,0,0,2,0,0,18,20,152,0,0,50,0,60,4,188,2,80,2,2,10,0,128,0,0,438,4,0,0,0,0,0,0,62,0,0,2,0,0,0,8,0,22,4,134,12,76,22,8,18,90,4,92,72,2,2,0,0,0,0,62,50,0,64,0,14,0,0,2,0,2,2,0,14,0,4,2,0,14,0,4,0,2,0,0,0,2,0,0,0,0,74,0,0,0,8,0,76,18,2,26,64,56,2,2,8,0,0,24,0,36,0,2,58,20,18,0,154,6,0,64,0,0,0,0,0,30,0,0,0,0,4,90,0,0,14,0,0,6,0,0,0,0,24,68,0,18,2,0,4,4,844,0,0,0,2,0,4,0,0,0,10,36,0,10
ARG,2,2,0,0,0,0,20,0,158,2,670,358,152,0,342,6,4,22,34,2,0,0,164,0,0,64,1726,4,4,0,0,0,924,544,912,424,4,6,8,0,0,494,0,0,64,80,0,0,2,302,1266,0,0,334,10,14,92,34,0,2108,30,6,120,0,1214,0,2,1360,154,6,0,0,4,0,0,246,0,2,28,6,2,24,32,2,244,28,276,70,52,0,10,334,1072,6,4,416,4,26,0,2,0,0,112,6,0,18,0,4,0,0,8,0,16,8,10,172,2,0,4,0,658,0,14,0,6,0,0,4,2,0,0,2,2,38,4,2,4,20,10,576,246,6,142,8,44,42,176,28,2,0,356,0,346,60,0,12,226,290,2,60,8,4,48,0,0,12,0,0,182,0,0,4,178,222,430,0,0,6,0,0,64,2,0,0,4,16,266,0,222,8,12,28,316,3452,0,10,0,142,0,28,0,0,0,0,356,10,14
ARM,0,0,0,2,0,0,2,158,0,0,250,404,152,0,200,0,0,0,206,0,0,4,354,0,0,4,430,2,0,0,0,0,182,434,180,420,0,0,0,0,0,344,0,0,4,56,0,0,182,434,542,0,0,216,0,0,4,204,0,428,192,0,246,0,532,0,0,682,348,0,0,0,2,0,0,408,0,0,2,0,0,0,256,0,396,0,292,82,234,0,0,172,510,6,0,230,8,6,0,2,0,0,272,0,0,2,0,0,0,0,44,0,182,0,0,152,0,0,4,0,348,0,0,0,0,0,8,8,0,0,0,2,0,6,22,0,2,2,0,222,212,0,186,0,230,0,52,2,0,0,432,0,350,0,0,32,344,570,0,40,0,0,4,0,0,0,0,0,380,0,0,0,216,164,242,0,0,0,0,0,178,0,0,0,0,0,404,0,348,2,0,246,4,558,6,0,0,4,2,2,0,0,0,0,234,0,2
ATG,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
