,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,2,0,0,5,2,0,0,3,2,0,4,0,4,0,0,0,3,0,0,6,1,0,0,4,0,6,3,3,5,2,3,3,0,0,4,0,0,0,0,0,0,2,0,8,0,0,4,0,0,0,9,0,4,4,6,4,2,8,0,0,25,4,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,7,1,9,3,4,1,4,0,4,10,0,5,0,1,0,0,5,0,0,4,0,0,2,0,4,0,0,0,0,3,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,7,1,3,0,6,0,0,6,5,1,0,4,2,12,3,4,3,0,2,1,0,4,0,3,4,0,4,4,8,1,0,4,0,1,0,0,0,2,0,0,0,2,0,6,0,0,1,0,0,2,1,0,0,0,0,0,4,0,4,0,3,1,1,36,1,0,0,0,0,3,0,0,0,0,8,2,1
AGO,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,4,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,7,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,5,0,0
ALB,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,0,0,0,8,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,0,0,5,0,2,0,2,0,14,1,0,6,0,16,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,5,0,1,2,2,1,1,4,37,0,0,7,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,3,0,3,1,0,3,0,0,1,0,18,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,1,8,3,0,1,0,0,0,0,0,0,0,0,14,0,0,0,1,10,8,0,0,1,0,0,0,0,0,0,0,0,2,18,0,0,0,0,1,2,29,0,0,0,0,0,0,0,0,21,0,1,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ARE,0,0,0,0,0,0,0,11,1,0,93,20,0,0,29,1,0,10,3,23,0,0,0,0,0,1,27,0,0,0,0,0,219,37,10,110,0,2,0,1,0,9,0,0,1,1,0,0,4,17,97,1,0,37,2,29,2,100,0,40,1,0,11,2,105,0,0,275,1,1,0,0,0,0,0,42,0,1,0,0,0,1,6,0,17,3,110,13,32,10,1,15,77,1,57,56,2,5,0,0,0,0,33,39,0,35,0,10,0,0,2,0,3,2,2,18,0,0,0,0,16,0,4,0,1,0,1,1,1,1,0,0,0,62,0,0,1,1,1,0,43,5,1,0,21,46,35,1,2,3,0,0,18,0,17,0,1,62,10,21,0,132,7,1,31,0,0,1,0,0,13,0,0,0,1,5,55,0,0,10,0,0,6,0,0,0,0,2,30,51,0,15,0,0,7,2,548,1,0,0,0,1,2,0,0,1,8,26,0,4
ARG,1,2,1,1,0,0,11,0,85,0,381,191,83,0,208,4,2,15,19,3,1,5,90,2,0,23,945,1,1,0,4,0,477,305,505,263,4,7,4,1,0,275,0,0,32,43,3,2,8,184,770,0,1,211,3,1,41,23,0,1078,9,3,55,1,689,0,0,776,92,6,0,0,1,0,0,144,0,0,11,2,1,8,30,2,155,12,232,29,35,1,4,180,590,3,8,247,3,20,3,4,0,0,69,5,2,13,0,4,2,0,5,0,12,5,7,97,0,1,2,0,308,0,9,0,5,0,0,3,1,0,0,0,1,60,1,2,1,13,2,0,339,144,1,0,74,4,29,18,84,19,0,3,206,0,186,19,2,7,138,204,2,32,1,1,25,0,3,6,0,0,100,0,0,0,101,120,203,0,0,5,0,0,29,0,0,0,0,2,6,162,0,125,7,6,15,184,1740,3,0,1,0,58,17,0,0,1,0,188,6,9
ARM,0,0,0,0,0,0,1,85,0,0,108,184,87,0,96,0,0,3,89,0,1,2,170,0,0,1,206,1,0,0,0,0,103,197,101,214,1,0,0,0,0,170,0,0,3,24,0,1,79,204,274,0,1,115,0,1,1,90,0,202,79,1,105,0,263,0,0,351,172,0,0,0,1,0,0,191,0,0,1,1,0,0,108,0,186,3,195,92,93,0,0,96,264,1,0,129,5,2,1,1,0,0,128,2,0,1,0,0,0,0,76,0,79,1,1,87,0,6,1,0,111,0,0,0,0,0,4,5,0,0,0,0,0,89,14,0,0,1,0,0,128,111,0,0,78,2,104,0,24,2,0,0,215,0,167,0,0,71,117,271,0,41,1,0,3,0,0,0,0,0,183,0,0,0,110,95,125,0,0,0,0,0,101,1,0,0,0,1,0,194,0,170,2,0,118,3,294,4,0,0,0,1,0,0,0,0,0,125,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
