,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AFG,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,5,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,6,1,4,0,1,4,1,0,1,0,0,1,0,0,0,0,0,3,0,0,4,0,1,1,5,0,3,2,2,1,0,0,6,0,1,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,14,1,12,1,0,3,4,0,2,15,1,2,1,0,0,0,3,1,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,2,0,0,0,1,11,0,1,0,5,0,0,5,2,2,1,0,16,1,1,2,0,0,1,0,1,0,1,1,1,1,1,4,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,1,3,0,2,3,3,1,0,28,0,0,0,0,0,0,2,0,0,0,0,3,1,0
AGO,0,0,0,0,0,0,0,0,3,0,0,7,1,0,0,3,2,0,3,0,1,0,0,2,0,0,0,0,15,0,0,0,1,0,2,7,0,1,0,3,1,0,0,0,0,2,0,3,0,0,0,0,10,0,0,3,0,1,0,2,0,19,0,1,2,0,0,7,0,0,1,11,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,3,1,0,1,0,1,0,0,1,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,1,0,0,3,0,1,0,2,2,0,0,9,2,0,1,0,1,0,1,0,0,0,0,0,47,0,0,0,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,30,0,0,0,0,0,0,0,0,0,0,0,5,2,2
AIA,0,1,0,0,0,0,0,7,1,0,0,8,7,0,3,7,8,0,0,9,5,7,0,0,0,0,0,1,8,0,0,6,0,0,8,6,7,8,0,7,5,0,0,8,0,0,5,0,0,0,0,0,8,0,0,7,0,7,6,8,0,8,6,8,8,0,0,6,0,6,0,23,2,7,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,7,8,6,8,8,6,7,8,1,7,8,4,8,6,0,0,0,8,1,0,6,0,0,0,0,6,0,0,6,0,0,1,0,0,0,0,8,0,0,0,0,5,0,0,6,0,0,0,0,8,1,5,0,8,0,0,8,8,8,8,4,8,7,8,7,0,1,8,0,8,0,6,5,6,8,6,8,0,0,8,0,0,0,0,0,0,0,8,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,7,5,5,6,0,11,0,0,0,0,0,0,7,0,0,0,3,8,6,0
ALB,0,0,0,0,0,1,0,4,4,1,0,8,20,0,0,19,3,0,2,3,19,0,0,14,10,0,0,2,12,1,3,0,1,0,8,23,4,11,3,5,1,0,0,9,0,0,2,1,0,0,8,21,42,0,0,14,2,7,4,11,0,37,13,1,14,1,0,31,1,0,0,46,6,4,0,0,0,0,0,37,0,0,0,0,0,0,28,0,15,4,12,9,5,0,6,13,100,5,5,15,2,3,2,0,0,0,6,1,0,6,0,0,0,0,1,0,8,2,7,0,6,0,2,0,0,8,0,23,0,5,1,14,3,1,0,0,2,0,8,1,0,0,6,1,0,24,12,4,1,2,5,5,4,2,0,1,24,0,20,3,1,3,24,16,0,7,4,1,6,0,0,1,2,1,0,0,26,0,0,1,8,25,20,0,0,1,1,0,0,0,5,0,0,0,1,3,8,36,0,6,3,5,8,1,46,0,0,0,0,3,0,4,0,0,27,1,4,3,0
AND,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,12,1,0,1,0,0,4,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,1,0,7,4,0,0,0,26,1,0,231,51,2,4,59,13,0,5,36,18,36,0,6,9,1,1,3,89,3,3,7,3,0,377,91,45,239,5,23,7,0,0,37,0,0,9,2,0,1,14,40,239,0,0,59,1,70,12,226,0,153,22,23,54,3,0,258,0,7,2,532,10,16,0,2,2,0,0,130,0,1,1,0,0,1,11,0,27,21,261,27,83,26,14,53,222,10,132,93,12,12,11,3,0,0,129,52,1,84,0,7,0,0,13,0,8,16,9,1,43,1,1,1,2,37,0,4,0,2,8,1,6,11,0,0,3,1,139,3,7,1,25,0,0,131,46,16,34,76,159,12,15,19,0,2,83,0,84,7,21,140,33,72,8,291,18,1,82,0,0,1,2,1,0,1,41,0,0,1,14,13,105,0,0,3,5,0,0,0,30,0,0,0,1,5,83,88,0,47,11,12,17,2,937,6,0,1,0,11,0,18,0,0,0,17,66,10,5
ARG,0,0,3,1,4,0,0,26,0,96,0,516,226,93,0,274,7,0,4,19,115,3,1,9,99,1,0,47,1230,4,3,2,4,0,615,427,644,391,4,10,7,0,0,504,1,0,83,47,0,1,10,257,956,0,1,275,13,13,126,48,0,1323,32,5,91,2,1,899,0,1,2,1021,107,21,1,2,3,0,1,170,2,1,30,1,2,13,34,2,180,22,201,60,47,5,10,201,721,10,12,312,8,29,7,2,0,0,87,15,0,14,0,0,0,0,11,0,10,13,15,0,117,4,6,3,0,459,0,3,3,3,3,1,11,8,0,0,4,1,128,5,3,1,28,14,0,422,194,14,94,5,34,43,177,33,0,2,237,0,269,48,87,14,176,249,5,43,6,2,57,0,0,1,2,10,0,0,123,0,1,4,114,147,291,0,0,4,2,0,0,1,53,0,0,0,1,7,16,218,0,145,8,14,47,256,2150,5,0,3,0,118,0,18,0,0,0,2,274,9,7
ARM,0,0,0,0,1,1,0,1,96,0,0,112,255,117,0,136,0,0,0,9,225,0,0,3,225,0,0,0,250,0,0,0,0,0,111,276,112,260,0,1,0,0,0,211,0,0,0,29,0,0,122,266,328,0,0,133,0,0,113,125,0,262,126,0,152,0,0,330,1,0,0,408,227,0,0,1,0,0,0,255,0,0,0,0,0,0,158,0,244,37,167,134,130,0,8,107,323,0,0,145,11,0,2,0,0,0,182,0,0,2,0,0,0,0,115,0,123,1,116,0,97,1,2,0,0,158,0,4,0,1,0,5,4,0,0,0,0,0,215,7,0,0,0,0,0,146,128,1,119,0,160,1,30,10,0,0,278,0,226,0,82,111,140,397,0,14,0,0,10,0,0,0,0,0,1,0,215,0,0,0,126,105,137,1,0,0,0,0,0,0,156,0,0,0,0,0,6,257,0,218,1,1,167,1,373,7,0,0,0,0,0,4,0,0,2,0,132,0,0
