,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,5,0,0,1,6,0,0,0,0,1,0,0,2,3,0,0,1,0,0,4,11,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,6,0,2,1,4,0,0,0,5,0,0,0,7,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,3,10,0,11,0,1,0,0,0,2,20,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,2,4,0,0,0,2,0,0,4,1,2,0,1,16,2,2,2,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,9,0,0,1,1,0,0,31,0,0,0,0,1,0,3,0,0,0,0,7,0,0
AGO,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,3,2,2,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,13,0,0,0,0,1,0,0,1,9,0,2,2,0,0,6,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,3,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,17,0,0,0,0,0,0,1,0,0,0,0,11,1,1
AIA,0,1,0,0,0,0,0,10,8,6,0,12,8,0,0,11,11,0,0,9,6,10,0,0,0,0,0,0,12,3,7,3,3,0,12,8,8,8,3,8,8,0,0,12,0,0,8,0,0,0,1,0,12,0,0,8,0,8,7,12,0,12,8,12,8,0,0,8,0,8,0,28,4,9,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,9,12,8,12,9,8,9,8,0,12,12,6,10,8,0,0,0,11,8,0,10,9,2,0,0,9,0,0,8,0,0,4,0,0,0,0,9,0,0,0,3,2,0,0,9,1,0,0,0,12,7,1,0,12,0,0,9,12,9,8,2,12,9,12,11,0,2,12,0,10,0,9,0,10,0,8,10,7,11,1,0,8,0,0,0,0,0,0,0,11,0,0,0,8,6,11,0,0,0,0,0,2,3,0,0,0,0,0,4,7,8,0,9,10,3,8,2,18,0,0,0,0,0,0,10,0,0,0,6,12,6,0
ALB,0,0,0,0,0,0,0,1,3,2,0,9,19,5,1,15,2,0,0,1,23,1,0,21,5,0,0,1,12,1,1,0,2,0,9,18,6,12,0,1,0,0,0,7,0,0,1,1,0,0,6,17,24,0,0,9,1,2,1,3,0,35,14,1,9,0,0,29,0,0,0,47,5,2,0,0,0,0,0,35,0,0,2,0,0,1,25,1,17,1,5,6,4,1,4,10,103,2,3,33,3,3,1,1,0,1,6,0,0,2,0,1,0,0,1,0,7,3,7,0,5,0,3,1,0,6,0,23,0,3,0,16,0,0,0,0,0,1,3,1,0,0,4,1,0,23,12,1,2,1,7,1,2,1,0,0,26,0,17,3,2,0,2,0,24,13,1,4,3,0,2,0,0,0,0,1,1,0,25,0,0,0,11,28,11,1,0,0,0,0,0,0,2,0,0,0,0,1,6,25,0,3,0,0,6,0,35,1,0,0,0,1,0,0,0,0,23,0,8,1,0
AND,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,1,0,10,1,0,0,0,80,52,0,343,109,48,1,103,15,0,1,40,17,49,0,3,51,0,0,1,142,2,12,4,5,2,516,136,91,409,7,29,9,0,0,102,0,0,10,4,0,0,17,82,318,0,1,124,0,78,19,316,0,220,25,37,77,1,0,369,0,13,1,733,61,18,0,2,0,0,0,218,0,2,0,0,4,0,22,0,74,30,325,36,124,55,12,99,344,10,188,161,19,27,15,0,0,0,155,66,1,100,10,7,0,0,25,0,8,22,6,0,91,0,2,0,2,50,0,2,0,5,4,0,1,13,1,0,3,2,193,9,5,1,49,0,0,186,111,19,67,87,256,10,23,33,0,2,145,0,127,3,33,0,121,0,87,171,10,372,18,3,71,0,0,1,0,0,1,1,90,0,1,1,61,75,179,0,0,1,5,0,2,3,29,0,0,0,1,6,98,139,0,107,18,11,26,13,1199,7,0,1,0,15,0,34,0,0,0,25,137,7,7
ARG,0,0,1,8,3,1,0,80,0,125,0,584,315,115,2,312,12,0,4,28,107,9,1,9,126,2,1,49,1259,4,9,4,12,0,658,476,737,448,5,22,11,0,0,521,1,2,80,47,0,1,15,268,1071,0,1,342,24,19,136,55,0,1502,49,21,103,0,1,962,0,9,0,1174,130,24,0,0,2,0,0,236,1,3,27,2,2,15,48,5,217,33,215,83,64,17,30,249,791,8,18,366,8,40,11,3,0,1,147,19,0,28,9,3,0,1,18,0,26,20,15,0,134,0,2,2,0,563,0,7,2,17,3,6,4,14,1,0,4,6,152,14,5,0,38,10,0,485,249,18,105,7,48,39,181,45,1,2,299,2,327,47,67,0,21,0,208,293,12,53,9,9,76,1,0,1,0,9,2,0,167,0,0,3,155,185,355,0,0,3,4,0,2,4,45,0,0,1,1,9,27,234,0,196,14,20,43,263,2388,1,0,3,0,101,0,24,0,0,0,8,313,11,8
ARM,0,0,0,6,2,0,0,52,125,0,0,227,338,159,0,170,7,0,0,14,229,7,0,2,272,0,0,0,317,0,6,3,4,0,150,334,137,327,3,7,8,1,0,268,0,0,9,32,0,0,155,312,387,0,0,167,0,7,154,154,0,301,160,7,187,0,0,391,0,7,0,506,290,7,0,0,1,0,0,306,0,0,0,0,0,0,193,0,293,46,209,181,171,7,7,135,377,0,12,192,17,8,13,0,0,0,228,7,1,11,7,3,0,0,125,0,148,9,149,0,118,0,6,0,0,191,0,5,0,2,2,7,6,6,1,0,0,0,251,28,0,0,7,0,0,185,159,12,154,0,197,7,40,13,0,1,347,0,277,0,64,0,150,0,159,469,5,95,0,0,17,0,0,0,0,0,0,0,268,0,0,0,155,122,187,0,0,0,0,0,2,3,184,3,0,0,0,4,8,318,0,270,6,2,206,7,426,31,0,0,0,1,0,22,0,0,2,7,177,5,0
