,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6,0,0,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,2,2,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0
AFG,0,0,1,0,0,0,0,9,1,0,0,13,3,1,1,3,0,0,0,27,8,1,0,1,0,1,0,0,1,23,0,1,3,0,0,7,10,1,43,0,1,1,0,0,3,0,0,0,0,0,0,4,1,11,0,0,4,1,1,1,22,0,6,0,7,1,1,0,6,0,0,1,43,0,4,0,0,2,0,0,6,0,0,0,0,0,0,0,1,1,2,51,2,45,11,0,2,7,0,7,28,2,4,5,0,0,0,3,1,0,10,1,2,0,0,5,0,1,1,0,0,11,0,0,1,1,2,0,1,1,0,2,0,0,1,0,0,0,2,29,1,0,0,21,0,6,2,11,1,2,94,0,1,19,0,1,3,0,3,0,3,0,2,1,7,6,21,11,0,1,0,0,0,3,0,0,2,1,0,0,0,2,0,4,0,1,0,1,0,0,0,11,5,0,0,0,0,5,17,0,0,2,1,1,1,49,2,0,0,0,1,0,1,0,0,0,3,7,2,3
AGO,0,1,0,0,1,0,0,1,3,1,0,5,3,0,3,6,4,0,2,2,3,0,0,2,0,2,0,0,1,32,1,2,0,3,1,5,7,8,7,2,2,6,2,0,4,0,2,1,2,0,0,1,6,17,0,0,4,2,6,3,5,0,17,2,5,7,0,0,5,0,0,3,31,1,5,0,1,2,0,0,1,0,0,1,0,0,0,2,1,3,3,4,2,2,1,1,3,10,1,2,2,1,8,1,0,0,0,2,1,0,1,0,3,0,0,1,2,3,1,2,0,3,0,0,2,0,8,0,2,3,1,1,0,0,10,1,0,2,5,2,10,0,2,5,0,4,5,1,3,0,3,1,3,2,0,1,4,1,68,0,2,0,2,3,3,3,4,3,2,3,0,0,1,3,0,0,0,3,0,1,0,2,2,6,4,0,2,1,0,1,2,2,0,0,0,0,0,3,3,0,1,8,6,2,2,35,1,0,0,0,1,0,2,0,0,0,1,19,9,7
AIA,0,0,0,0,0,0,0,5,2,0,1,5,0,2,0,1,1,0,0,5,0,3,0,0,1,0,0,0,0,5,1,0,0,3,0,7,4,2,5,0,5,1,0,0,4,0,0,2,0,0,1,0,5,5,0,3,3,0,0,0,5,0,5,2,5,3,0,0,4,0,2,0,15,0,6,0,0,1,0,0,3,0,0,0,0,4,0,5,0,1,5,5,4,5,5,2,3,5,0,3,5,2,5,2,1,0,1,5,2,0,1,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,5,0,6,5,5,4,2,5,5,5,4,0,0,5,0,5,0,2,0,5,5,5,2,5,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,2,4,0,5,4,4,4,0,11,2,0,0,3,0,0,5,0,0,0,3,5,0,0
ALB,0,0,1,0,0,0,0,11,12,12,0,15,47,7,1,34,4,0,1,11,70,3,0,44,0,21,0,0,0,23,2,1,0,5,1,20,43,10,32,2,5,1,0,0,11,0,1,1,2,0,0,24,53,65,0,0,34,5,11,8,20,0,74,34,9,34,1,0,66,0,0,3,128,27,7,1,0,0,0,0,84,0,0,5,0,0,0,68,1,48,5,26,30,19,21,8,26,194,2,9,16,13,9,10,1,0,0,13,6,0,8,0,8,0,0,5,0,47,6,21,0,18,0,7,2,0,9,0,53,1,18,1,28,1,2,1,0,1,4,23,4,1,4,22,0,57,36,3,8,9,36,6,7,10,0,0,68,0,55,4,7,0,6,89,41,2,34,7,4,10,0,0,1,0,2,7,0,72,0,0,0,32,53,47,3,0,1,2,0,1,1,6,8,8,0,1,1,24,85,0,15,2,5,25,5,55,3,0,0,0,2,0,9,0,1,37,5,24,5,3
AND,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,22,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARE,0,9,1,5,11,0,0,0,106,32,1,668,185,44,2,141,6,0,5,103,40,79,0,15,0,42,0,0,1,276,5,17,1,14,1,693,227,120,1092,5,21,2,2,0,120,0,2,14,6,0,0,37,121,549,2,0,161,8,148,22,924,0,355,29,62,110,4,0,513,0,7,2,1501,55,43,0,2,6,1,0,267,3,0,9,0,8,1,47,2,106,100,1047,112,256,135,26,135,569,5,557,266,53,36,12,7,1,0,370,135,0,156,0,39,0,1,32,2,21,24,19,0,131,1,2,2,2,104,0,15,2,15,7,3,8,11,1,0,7,5,580,6,1,1,98,0,300,163,35,78,158,758,22,40,73,0,2,168,1,187,9,69,0,200,133,290,8,1172,44,6,160,1,0,2,1,2,0,1,106,0,0,0,58,79,236,1,0,2,13,1,1,1,96,1,1,0,1,1,167,376,0,178,12,31,37,13,1757,21,0,0,1,8,0,110,0,1,6,43,285,6,25
ARG,2,1,3,2,12,1,0,106,0,40,0,765,325,84,2,413,4,0,2,50,127,6,1,9,0,86,2,1,70,1594,7,4,0,11,2,883,594,1063,587,9,17,5,6,1,699,0,3,122,62,1,0,28,310,1354,1,0,353,76,24,237,116,0,1881,40,34,165,4,3,1114,0,3,4,1510,96,32,0,5,5,0,0,241,2,0,86,2,4,33,75,4,229,55,356,167,122,22,22,267,1119,3,23,503,18,63,13,4,0,1,172,31,2,49,1,9,0,0,18,0,46,18,29,0,134,3,4,5,1,753,0,19,2,17,4,4,4,24,0,0,7,6,95,9,1,4,69,20,625,239,21,178,31,84,78,334,96,0,3,387,1,383,99,59,0,42,204,332,9,118,15,9,138,0,0,2,3,27,0,0,163,1,0,0,137,157,440,2,0,4,4,0,0,1,61,3,1,0,1,2,44,319,0,169,14,32,52,382,2819,8,0,10,0,147,0,41,1,1,5,9,349,5,18
ARM,0,0,1,0,12,0,0,32,40,0,0,134,188,74,1,109,1,0,1,9,109,0,0,5,0,126,0,0,0,177,3,0,0,3,1,64,189,63,198,3,1,1,0,0,111,0,0,0,34,0,0,83,185,277,0,0,102,1,2,75,97,0,161,89,9,142,0,0,255,0,0,1,301,136,6,1,0,0,0,0,176,0,0,1,0,0,0,140,2,156,47,156,105,93,4,1,51,254,0,6,105,15,5,16,1,0,0,150,44,0,6,0,4,0,0,62,1,86,5,89,0,32,0,22,6,1,128,0,8,1,5,2,63,7,2,1,0,0,2,87,11,0,2,10,0,102,103,10,81,3,130,2,41,11,0,0,208,0,136,3,4,0,74,89,322,1,41,5,1,15,0,0,0,3,1,3,0,119,0,0,0,80,51,107,1,0,0,2,0,1,1,133,12,4,0,0,1,6,169,0,112,4,5,143,3,321,46,0,0,0,4,0,9,0,1,1,2,83,1,2
