,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AFG,0,0,1,0,0,0,0,21,0,0,0,15,9,2,0,4,1,0,2,21,6,0,0,0,0,0,0,2,8,0,4,1,0,1,8,13,1,58,2,1,1,2,0,3,0,0,0,0,0,0,1,2,17,0,0,2,0,5,2,48,0,8,1,4,3,0,0,8,0,0,2,60,0,0,5,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,1,9,0,79,0,5,44,14,0,1,14,0,0,5,22,1,9,1,2,0,0,6,1,3,1,2,2,0,0,4,1,0,0,0,0,5,0,0,0,2,2,0,0,2,0,6,0,0,2,1,0,0,1,26,0,0,0,13,0,9,11,10,0,1,3,119,0,4,9,0,1,4,0,0,2,0,1,0,5,0,0,3,2,72,6,2,4,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0,3,0,5,0,1,1,13,2,0,0,0,0,2,14,0,2,5,2,2,1,61,1,0,0,0,0,0,0,5,0,0,0,5,11,1,0
AGO,0,1,0,0,1,0,0,0,3,1,0,7,5,1,3,7,1,0,2,3,1,0,0,0,1,0,0,1,15,0,0,0,2,2,4,4,7,8,6,7,5,4,0,13,0,2,1,4,0,0,0,2,16,0,0,6,1,1,2,1,0,51,1,4,9,0,0,9,0,0,2,20,1,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,1,2,2,1,3,0,24,0,8,3,1,0,1,8,1,0,1,5,1,7,1,1,0,0,18,0,2,2,1,1,0,0,1,1,2,0,1,0,2,0,0,1,0,37,0,1,3,0,1,0,1,10,2,0,0,2,3,2,0,0,4,1,4,2,2,0,1,0,17,1,4,2,0,1,2,0,0,46,1,0,0,2,0,1,2,3,17,2,3,2,0,0,0,0,1,0,0,2,2,1,0,1,1,3,2,1,0,0,0,1,1,3,0,0,1,0,0,3,1,0,1,4,4,1,1,38,1,0,0,0,3,0,0,1,0,0,0,1,14,4,2
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ALB,0,0,1,0,0,0,0,10,7,8,0,14,23,6,1,15,2,0,2,7,32,0,0,22,5,0,0,2,12,1,1,0,3,1,16,24,4,25,2,4,3,1,0,5,0,0,1,1,0,0,14,25,44,0,0,17,1,8,8,11,0,41,11,5,15,0,0,27,0,0,1,60,11,0,4,0,0,1,0,0,44,0,0,1,0,0,1,0,1,35,1,17,7,0,22,0,16,15,12,5,11,166,2,0,6,24,6,3,4,1,0,0,13,2,1,7,1,4,0,0,3,1,10,4,5,0,16,2,4,1,0,9,0,47,3,6,1,21,2,1,2,0,0,1,6,0,2,2,11,1,26,13,6,0,4,4,27,4,3,3,0,1,31,0,0,28,2,8,0,3,0,48,17,1,26,2,4,7,0,0,0,2,1,1,0,36,1,0,0,11,24,18,0,0,0,2,0,2,1,15,1,0,1,0,0,7,51,0,8,3,3,11,2,51,6,0,0,0,2,0,0,5,0,0,58,5,15,1,1
AND,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,5,4,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,5,0,0,3,0,1,1,0,0,25,2,0,2,0,0,6,0,0,0,13,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ARE,0,21,0,0,10,0,0,0,90,10,0,597,148,35,2,114,6,1,2,122,52,71,0,9,38,0,1,3,234,1,28,3,13,1,594,213,108,987,1,17,7,1,0,93,0,0,5,2,0,1,45,102,481,0,0,150,1,148,21,988,0,325,24,55,104,3,0,492,1,3,2,1334,43,1,36,0,2,11,0,0,215,1,0,5,0,0,4,0,1,58,0,90,94,0,1208,0,108,266,227,18,109,522,4,0,561,234,39,45,13,8,0,1,399,155,0,226,0,32,0,0,18,4,16,20,6,0,121,2,1,2,1,83,0,15,2,9,5,5,7,6,2,0,5,8,583,5,2,2,137,0,264,141,43,0,69,157,895,9,31,75,0,1,179,0,0,158,3,85,0,236,0,133,286,9,1384,46,10,178,0,0,0,3,0,0,4,102,2,1,0,55,66,218,4,1,1,19,1,2,1,107,0,0,0,0,3,127,429,0,210,13,13,26,8,1657,61,0,1,0,7,0,0,94,1,0,6,46,301,13,14
ARG,0,0,3,0,7,1,0,90,0,17,0,583,256,44,5,340,13,0,7,44,72,5,3,8,42,0,1,67,1207,5,5,3,12,1,741,463,800,468,10,22,14,5,0,515,0,0,101,37,0,2,25,194,1010,0,0,289,31,17,183,91,0,1411,36,27,123,1,3,886,1,2,7,1298,53,1,32,2,4,8,0,0,185,0,0,53,6,0,3,0,21,58,9,116,56,0,302,1,145,97,18,22,203,846,4,0,25,392,18,56,12,4,0,1,141,28,1,39,2,7,0,0,23,1,34,15,13,0,70,2,3,4,0,577,0,14,6,7,4,5,11,16,2,0,4,4,72,3,3,1,74,13,489,186,25,0,150,22,69,62,278,97,1,5,271,1,1,297,74,36,0,31,0,146,206,9,83,11,9,152,2,0,0,3,17,0,0,87,1,1,2,89,89,319,1,0,0,2,1,2,2,66,1,0,1,0,3,25,212,0,146,13,24,36,315,2202,10,0,3,0,91,0,0,40,0,1,1,6,275,14,14
ARM,0,0,1,0,8,1,0,10,17,0,0,87,127,42,2,87,3,0,2,11,81,1,1,8,80,0,0,2,125,1,0,2,2,1,39,140,25,155,2,4,3,1,0,77,0,0,3,32,0,0,64,125,202,0,0,51,2,3,62,76,0,104,74,9,113,0,0,181,0,0,1,198,95,0,9,0,3,1,0,0,129,0,0,4,0,0,2,0,1,123,5,103,43,0,143,0,80,93,10,9,27,196,2,0,5,64,19,6,8,10,0,0,116,56,1,6,1,2,0,0,63,4,68,6,63,0,7,1,11,5,0,101,0,8,3,2,4,62,7,2,2,0,0,2,74,5,0,0,6,1,69,60,8,0,64,3,113,4,42,9,0,2,148,0,0,83,5,3,0,53,0,66,248,1,31,2,1,12,0,0,0,9,3,0,0,76,2,0,0,54,21,56,0,0,0,1,0,2,1,101,3,0,1,0,0,6,123,0,75,3,4,119,2,240,58,0,0,0,4,0,0,7,0,0,3,3,52,2,1
